2.139e-05,1.7775e-05,2.8921e-05,2.7114e-05,3.2235e-05,4.7298e-05,3.585e-05,0.00027385,3.8562e-05,6.9893e-05,1.5063e-05,3.2537e-05
5.1215e-06,6.0253e-07,4.8202e-06,7.2303e-06,5.1215e-06,1.9582e-05,4.1876e-05,7.6521e-05,1.7473e-05,3.1633e-05,3.9164e-06,9.0379e-06
2.7114e-06,9.0379e-07,2.4101e-06,3.0126e-06,5.4228e-06,4.3382e-05,4.3985e-05,9.0681e-05,3.1331e-05,4.3985e-05,1.2051e-06,3.9164e-06
5.724e-06,9.0379e-07,3.6152e-06,4.2177e-06,2.3197e-05,0.00012141,0.00024071,0.00017835,5.724e-05,7.3508e-05,3.9164e-06,1.3557e-05
4.1574e-05,3.0126e-06,1.898e-05,1.1147e-05,7.0496e-05,0.00045883,0.0017988,0.0005959,0.00010032,0.00010032,1.1147e-05,1.7775e-05
0.00010032,1.9582e-05,6.3868e-05,3.4645e-05,0.00016871,0.0020661,0.0078356,0.0024128,0.00046967,0.00034073,6.4169e-05,8.8572e-05
0.00066519,2.621e-05,0.00024192,9.4296e-05,0.00053444,0.0056044,0.030488,0.0068071,0.0010279,0.0012611,0.00013135,0.00020697
0.00088843,5.6035e-05,0.00061277,0.0001422,0.00095983,0.012216,0.06216,0.014744,0.0030738,0.0031021,0.00023047,0.00032235
0.0031949,0.00046847,0.0050368,0.00062934,0.0030102,0.032653,0.14189,0.043123,0.0076072,0.0085131,0.0008827,0.0021119
0.0066736,0.0015355,0.010094,0.0012933,0.010439,0.080907,0.38866,0.107,0.020359,0.024855,0.001891,0.0060385
0.011898,0.0025379,0.014582,0.0034444,0.015106,0.15227,0.66233,0.19275,0.034096,0.047479,0.0033549,0.012456
0.04815,0.01076,0.1071,0.014827,0.054999,1.368,3.8294,1.5964,0.23652,0.37098,0.017284,0.051217
0.10861,0.02464,0.26046,0.030619,0.10408,5.1982,12.461,5.9826,0.65054,0.96496,0.047919,0.10612
0.19383,0.037905,0.5518,0.043116,0.1795,10.309,26.61,14.702,1.357,2.1228,0.11605,0.19409
