3.4e-6,2.1e-6,2.601e-6,3.8e-6,5.0e-7,6.101e-6
5.701e-6,9.999e-6,9.999e-6,1.25e-5,4.0e-7,1.53e-5
1.52e-5,2.67e-5,3.41e-5,3.6399e-5,8.0e-7,4.24e-5
3.07e-5,6.44e-5,0.0001026,0.0001337,1.901e-6,0.000125101
0.000238399,0.0002923,0.0005694,0.0009852,1.4201e-5,0.0005347
0.000995399,0.000987801,0.001782001,0.005438501,5.5999e-5,0.0021856
0.0046586,0.0043049,0.0072181,0.030015201,0.0002329,0.008292001
0.014420399,0.009906399,0.016263,0.0519531,0.000398701,0.0190724
0.051284901,0.027552399,0.043548601,0.1317077,0.0016129,0.055500599
0.1350119,0.0551278,0.084988299,0.357245499,0.003836599,0.136563299
0.3708025,0.1307706,0.1655717,0.6235449,0.0057451,0.2662362
1.7286563,0.747528101,1.4033297,3.024769799,0.028422599,1.7019836
4.328069001,2.6457099,5.561584299,9.780251201,0.079305701,6.0877189
9.437777,6.181735,9.6257803,20.6663314,0.167082,14.50514
